(3072, 3072, 1536, 5862)
(2560, 3072, 1536, 5350)
(3072, 3072, 1536, 5862)
(3072, 3584, 2048, 6374)
(3072, 3072, 2048, 6374)
(3072, 3072, 1536, 5862)
(3072, 3072, 1536, 6374)
(3072, 3584, 2048, 6886)
(3072, 3584, 2048, 6374)
(3072, 3072, 1536, 5862)
(3072, 3072, 1536, 5862)
(3072, 3584, 2048, 6374)
(3072, 3584, 2048, 6374)
(3072, 3584, 2048, 6374)
(3072, 3072, 1536, 5862)
(3072, 3072, 2048, 6374)
(3584, 3584, 2048, 6886)
(3072, 3072, 2048, 6374)
(3072, 3072, 1536, 5862)
(3072, 3072, 1536, 6374)
(3072, 3584, 2048, 6374)
(3072, 3072, 2048, 6374)
(3072, 3072, 1536, 5862)
(3072, 3072, 1536, 5862)
(3072, 3072, 1536, 5862)
(3072, 3072, 1536, 6374)
(2560, 1024, 1024, 3814)
(2048, 1024, 1024, 3302)
(2560, 1024, 1024, 3814)
(2560, 1024, 1024, 3814)
(2048, 1024, 1024, 3302)
(2048, 512, 1024, 3302)
(2048, 512, 1024, 3302)
(2048, 1024, 1024, 3302)
(2048, 512, 1024, 3302)
(2048, 512, 1024, 3302)
(2048, 512, 1024, 3302)
(2048, 512, 1024, 3302)
(2048, 1024, 1024, 3814)
(2048, 512, 1024, 3302)
(2048, 512, 1024, 3302)
(2048, 512, 1024, 3302)
(2048, 1024, 1024, 3814)
(2048, 512, 1024, 3302)
(2048, 512, 1024, 3302)
(2048, 512, 1024, 3302)
(2048, 512, 1024, 3302)
(2048, 1024, 1024, 3814)
(2048, 512, 1024, 3302)
(2048, 512, 1024, 3302)
(2048, 512, 1024, 3302)
(2048, 1024, 1024, 3814)
(2048, 1024, 1024, 3302)
(2048, 512, 1024, 3302)
(2048, 512, 1024, 3302)
